ADANIPORTS.NS
ASIANPAINT.NS
AXISBANK.NS
BAJAJ-AUTO.NS
BAJFINANCE.NS
BAJAJFINSV.NS
BHARTIARTL.NS
INFRATEL.NS
BPCL.NS
BRITANNIA.NS
CIPLA.NS
COALINDIA.NS
DRREDDY.NS
EICHERMOT.NS
GAIL.NS
GRASIM.NS
HCLTECH.NS
HDFC.NS
HDFCBANK.NS
HDFCLIFE.NS
HEROMOTOCO.NS
HINDALCO.NS
HINDUNILVR.NS
ICICIBANK.NS
INDUSINDBK.NS
INFY.NS
IOC.NS
ITC.NS
JSWSTEEL.NS
KOTAKBANK.NS
LT.NS
M&M.NS
MARUTI.NS
NESTLEIND.NS
NTPC.NS
ONGC.NS
POWERGRID.NS
RELIANCE.NS
SBIN.NS
SHREECEM.NS
SUNPHARMA.NS
TATAMOTORS.NS
TATASTEEL.NS
TCS.NS
TECHM.NS
TITAN.NS
ULTRACEMCO.NS
UPL.NS
WIPRO.NS
ZEEL.NS
^NSEI
CL=F
GC=F
BTC-USD
ETH-USD
